product_id,name,category,subcategory,brand,base_price,base_rating,image_url
1,Buck 110 Folding Hunters Knife,Fashion,[],Generic,74.38,4.0,https://picsum.photos/seed/0/400/300
2,Kids Explorer Sandals,Fashion,"['Bright Sapphire', 'Cactus', 'Night', 'Teal Shado",Generic,72.86,4.0,https://picsum.photos/seed/1/400/300
3,"Maine Wardens Day Pack, Camo",Fashion,['Mossy Oak Country'],Generic,26.73,4.0,https://picsum.photos/seed/2/400/300
4,Toddlers Animal Paws Slippers,Fashion,['Owl'],Generic,100.36,4.0,https://picsum.photos/seed/3/400/300
5,"Toddlers Baby Bogs Boots, Classic Dino",Fashion,['Dark Gray Multi'],Generic,35.17,4.0,https://picsum.photos/seed/4/400/300
6,L.L.Bean Continental Rucksack,Fashion,"['Black', 'Gunmetal', 'Khaki']",Generic,54.19,4.0,https://picsum.photos/seed/5/400/300
7,Allagash Pack Basket,Fashion,[],Generic,37.44,4.0,https://picsum.photos/seed/6/400/300
8,Mountain Classic Cordura Pack,Fashion,"['Black', 'Coal/Dark Amber', 'Coal/Graphite', 'Spr",Generic,45.14,4.0,https://picsum.photos/seed/7/400/300
9,"Toddlers Baby Bogs Boots, Classic Owls",Fashion,['Blue Multi'],Generic,115.84,4.0,https://picsum.photos/seed/8/400/300
10,Wicked Good Camp Moccasins,Fashion,"['Brown', 'Graphite', 'Graphite/Aqua Splash', 'Bla",Generic,16.08,4.0,https://picsum.photos/seed/9/400/300
12,Dragon Snow and Sand Mold,Fashion,['Green'],Generic,127.92,4.0,https://picsum.photos/seed/11/400/300
13,Pencil Case,Fashion,"['Black', 'Navy', 'Red', 'Royal']",Generic,51.35,4.0,https://picsum.photos/seed/12/400/300
14,Arches National Park Patch,Fashion,['Multi'],Generic,75.91,4.0,https://picsum.photos/seed/13/400/300
15,Womens Trail Model 4 Ventilated Hiking Shoes,Fashion,['Dark Stone/Bayleaf'],Generic,107.78,4.0,https://picsum.photos/seed/14/400/300
17,Womens Merrell Phaserbound Waterproof Hiking Boots,Fashion,['Boulder'],Generic,96.04,4.0,https://picsum.photos/seed/16/400/300
18,"Mens Bogs Bozeman Boots, Tall",Fashion,['Black'],Generic,56.62,4.0,https://picsum.photos/seed/17/400/300
19,Womens Teva Mush Mandalyn Wedge Ola Sandals,Fashion,"['Agave Black Metallic', 'Black']",Generic,26.84,4.0,https://picsum.photos/seed/18/400/300
20,Mens Cotton Poplin Field Shirt,Fashion,"['Cement', 'Dusty Olive']",Generic,94.05,4.0,https://picsum.photos/seed/19/400/300
21,Womens Monhegan Sandals,Fashion,"['Marina Teal', 'Purple Horizon']",Generic,123.29,4.0,https://picsum.photos/seed/20/400/300
23,Womens Wicked Good Clogs,Fashion,"['Brown', 'Graphite']",Generic,76.1,4.0,https://picsum.photos/seed/22/400/300
24,Womens Teva Hurricane XLT2 Sandals,Fashion,['Lago Blue'],Generic,104.36,4.0,https://picsum.photos/seed/23/400/300
25,Womens Hoka One One Hupana EM,Fashion,['Dusty Pink/Mood Indigo'],Generic,64.91,4.0,https://picsum.photos/seed/24/400/300
26,Womens OluKai Paniolo Sandals,Fashion,['Natural/Natural'],Generic,41.87,4.0,https://picsum.photos/seed/25/400/300
27,Womens Teva Sirra Sandals,Fashion,"['Black', 'Spili Grey Mist']",Generic,99.49,4.0,https://picsum.photos/seed/26/400/300
28,Myrna Sandals by Kork-Ease,Fashion,['Golden Sand'],Generic,22.04,4.0,https://picsum.photos/seed/27/400/300
29,Womens Keen Newport H2,Fashion,"['Magnet/Coral', 'Poseidon/Capri']",Generic,81.31,4.0,https://picsum.photos/seed/28/400/300
30,Womens Keen Rose Sandals,Fashion,['Gargoyle/Raven'],Generic,57.18,4.0,https://picsum.photos/seed/29/400/300
31,"Womens Getaway Sandals, Two Strap Slide",Fashion,"['Black', 'Platinum Metallic']",Generic,53.53,4.0,https://picsum.photos/seed/30/400/300
32,Womens Waterproof Keen Terradora Hiking Shoes,Fashion,"['Stormy Weather/Wrought Iron', 'Winetasting/Tulip",Generic,67.48,4.0,https://picsum.photos/seed/31/400/300
33,Zukey Suede Sandals by Kork-Ease,Fashion,"['Black', 'Natural']",Generic,44.52,4.0,https://picsum.photos/seed/32/400/300
34,Womens Waterproof Hoka One One Sky Toa,Fashion,['Black Iris/Aquamarine'],Generic,128.28,4.0,https://picsum.photos/seed/33/400/300
35,Womens Chaco for L.L.Bean Z/Cloud 2 Sandals,Fashion,['Acadia Mineral Blue'],Generic,85.47,4.0,https://picsum.photos/seed/34/400/300
36,Womens Wicked Good Deerskin-Lined Slippers. Original Venetian,Fashion,['Brown'],Generic,127.8,4.0,https://picsum.photos/seed/35/400/300
37,Womens Teva Omnium Sandals,Fashion,['Slate'],Generic,102.33,4.0,https://picsum.photos/seed/36/400/300
38,Womens Wicked Good Moccasins,Fashion,"['Black', 'Brown', 'Chocolate Brown', 'Mariner Blu",Generic,128.04,4.0,https://picsum.photos/seed/37/400/300
39,"Womens Maine Isle Flip-Flops, Print",Fashion,"['Cobalt Stained Glass', 'Dusty Green Plaid']",Generic,135.3,4.0,https://picsum.photos/seed/38/400/300
40,Nogales Sandals by Kork-Ease,Fashion,"['Black', 'Brown', 'Gold']",Generic,99.54,4.0,https://picsum.photos/seed/39/400/300
41,Womens Teva Original Universal Sandal,Fashion,"['Gc100 Boomerang', 'Sun and Moon Insignia Blue']",Generic,31.04,4.0,https://picsum.photos/seed/40/400/300
